en,1,What is the name of the tallest mountain in the world?,Mount Everest,Mount Elbrus
en,2,Which country has the largest population in the world?,USA,China
en,1,What is the name of the longest river in Africa?,The Nile River,Niger River
en,2,What American city is the Golden Gate Bridge located in?,New York,San Francisco
en,2,What is the name of the largest country in the world?,USA,Russia
ru,1,Как называется самая высокая гора в мире?,Эверест,Эльбрус
ru,2,В какой стране самое большое население?,США,Китай
ru,1,Какая река самая длинная в Африке?,Нил,Нигер
ru,2,В каком Американском городе находится мост Золотые ворота?,Нью-Йорк,Сан-Франциско
ru,2,Какая страна самая большая в мире?,США,Россия
